occ_code,task,penetration
25-1061.00,"Conduct research in a particular field of knowledge and present findings in professional journals, books, electronic media, or at professional conferences.",0.8971
43-6013.00,"Compile and record medical charts, reports, or correspondence, using typewriter or personal computer.",0.8969
19-4093.00,Develop and maintain computer databases.,0.8967
49-2011.00,Analyze equipment performance records to assess equipment functioning.,0.8963
25-1193.00,"Prepare and deliver lectures to undergraduate or graduate students on topics such as anatomy, therapeutic recreation, and conditioning theory.",0.8962
11-9061.00,Conduct market research and analyze industry trends.,0.8955
25-1021.00,Compile bibliographies of specialized materials for outside reading assignments.,0.8954
25-1082.00,Compile bibliographies of specialized materials for outside reading assignments.,0.8954
25-1121.00,Compile bibliographies of specialized materials for outside reading assignments.,0.8954
25-1111.00,Compile bibliographies of specialized materials for outside reading assignments.,0.8954
25-1011.00,Compile bibliographies of specialized materials for outside reading assignments.,0.8954
25-1063.00,Compile bibliographies of specialized materials for outside reading assignments.,0.8954
25-1031.00,Compile bibliographies of specialized materials for outside reading assignments.,0.8954
25-1067.00,Compile bibliographies of specialized materials for outside reading assignments.,0.8954
25-1061.00,Compile bibliographies of specialized materials for outside reading assignments.,0.8954
25-1071.00,Compile bibliographies of specialized materials for outside reading assignments.,0.8954
25-1113.00,Compile bibliographies of specialized materials for outside reading assignments.,0.8954
25-1112.00,Compile bibliographies of specialized materials for outside reading assignments.,0.8954
25-1022.00,Compile bibliographies of specialized materials for outside reading assignments.,0.8954
25-1062.00,Compile bibliographies of specialized materials for outside reading assignments.,0.8954
25-1126.00,Compile bibliographies of specialized materials for outside reading assignments.,0.8954
25-1064.00,Compile bibliographies of specialized materials for outside reading assignments.,0.8954
25-1072.00,Compile bibliographies of specialized materials for outside reading assignments.,0.8954
25-1054.00,Compile bibliographies of specialized materials for outside reading assignments.,0.8954
25-1066.00,Compile bibliographies of specialized materials for outside reading assignments.,0.8954
25-1053.00,Compile bibliographies of specialized materials for outside reading assignments.,0.8954
25-1042.00,Compile bibliographies of specialized materials for outside reading assignments.,0.8954
25-1125.00,Compile bibliographies of specialized materials for outside reading assignments.,0.8954
25-1052.00,Compile bibliographies of specialized materials for outside reading assignments.,0.8954
25-1124.00,Compile bibliographies of specialized materials for outside reading assignments.,0.8954
25-1043.00,Compile bibliographies of specialized materials for outside reading assignments.,0.8954
25-1041.00,Compile bibliographies of specialized materials for outside reading assignments.,0.8954
25-1081.00,Compile bibliographies of specialized materials for outside reading assignments.,0.8954
25-1193.00,Compile bibliographies of specialized materials for outside reading assignments.,0.8954
25-1032.00,Compile bibliographies of specialized materials for outside reading assignments.,0.8954
25-1192.00,Compile bibliographies of specialized materials for outside reading assignments.,0.8954
25-1122.00,Compile bibliographies of specialized materials for outside reading assignments.,0.8954
25-1065.00,Compile bibliographies of specialized materials for outside reading assignments.,0.8954
15-1142.00,"Implement and provide technical support for voice services and equipment, such as private branch exchange, voice mail system, and telecom system.",0.8951
43-4051.03,"Explain policies, procedures, or services to patients using medical or administrative knowledge.",0.8951
15-1121.00,"Read manuals, periodicals, and technical reports to learn how to develop programs that meet staff and user requirements.",0.8945
13-1199.03,"Provide advice on transportation options, types of carriers, or shipping routes.",0.8938
13-1041.04,"Examine records, reports, or other documents to establish facts or detect discrepancies.",0.8938
43-4031.02,Record and edit the minutes of meetings and distribute to appropriate officials or staff members.,0.8937
13-2011.01,"Prepare, examine, or analyze accounting records, financial statements, or other financial reports to assess accuracy, completeness, and conformance to reporting and procedural standards.",0.8929
19-3099.01,Prepare or review engineering studies or specifications.,0.8928
13-1041.07,"Obtain and distribute updated information regarding domestic or international laws, guidelines, or standards.",0.8926
29-1125.01,"Review research or literature in art therapy, psychology, or related disciplines.",0.8922
